Tweet Sentiment
|b'@karenellen45 @RealKyleMorris @TrumpStudents @realDonaldTrump Oh, dear. You need to go to Specsavers, if you cannot\xe2\x80\xa6 https://t.co/gA8DRkdVL6'| Positive
|b'RT @vibesrestored: looks like biden might get to veto m4a after all lol'| Positive
|b'RT @hugolowell: President Trump now tweets that \xe2\x80\x9cmany states want to decertify\xe2\x80\x9d their presidential election results almost a month after th\xe2\x80\xa6'| Positive
|b'@DesignationSix Biden has done more as president-elect than Trump did the past 3 years + 1 year of golfing!'| Positive
|b'RT @TheRickyDavila: President Joe Biden.\n\nVice President and President of the Senate Kamala Harris.\n\nSenate Majority Leader Chuck Schumer.\xe2\x80\xa6'| Positive
|b'RT @Yoplaides: Things that bring me joy:\n\nPresident Joe Biden\n\nVice President Kamala Harris\n\nSenator Jon Ossoff\n\nSenator Raphael Warnock\n\nS\xe2\x80\xa6'| Positive
|b'@peppywood01 @murray_nyc @realDonaldTrump @Mike_Pence @Twitter And yes Pence will do the right thing even if Biden can\xe2\x80\x99t except that.'| Positive
|b'RT @TheRickyDavila: President Joe Biden.\n\nVice President and President of the Senate Kamala Harris.\n\nSenate Majority Leader Chuck Schumer.\xe2\x80\xa6'| Positive
|b'RT @SenSchumer: Joe Biden will be President of the United States in 15 days.\n\nKamala Harris will be Vice President of the United States in\xe2\x80\xa6'| Positive
|b'@KayArissa @bears0 @BethRob66926224 @martywil2530 @charliekirk11 You don\xe2\x80\x99t understand. Clearly the shift-click meth\xe2\x80\xa6 https://t.co/ecdlpHyIJJ'| Positive
|b'RT @molly_knight: If Stacey Abrams can pull this off Biden should put her in charge of everything. The vaccine rollout. Writing and directi\xe2\x80\xa6'| Positive
|b'@dwgreek @realDonaldTrump @Mike_Pence You mad bro? Buckle up buttercup and put on your big girl panties.  Biden is\xe2\x80\xa6 https://t.co/k1g7vwRUpk'| Negative
|b'RT @molly_knight: If Stacey Abrams can pull this off Biden should put her in charge of everything. The vaccine rollout. Writing and directi\xe2\x80\xa6'| Positive
|b'RT @BillKristol: JUST POSTED, from me:\n"The odds tonight got quite a bit better that President Biden will have, and will be seen to have, a\xe2\x80\xa6'| Positive
|b"RT @BlackBernieBabe: I want the Democrats to win their Senate run offs today simply bc I'm not in the mood to hear blue MAGAs excuses as to\xe2\x80\xa6"| Positive
